Body Id,Platform,Primer Color,Topcoat Color,Topcoat Last Used,Ambient Humidity,Ambient Temperature,Paint Temperature,Paint Pressure,Electrical Resistivity,Paint Viscosity,Basecoat Humidity,Basecoat Temperature,Clearcoat Humidity,Clearcoat Temperature,Engine Run Number,Primer Applied,Dust Defect
AWK6L12503,W207,MK09,BK11,23.0,85.1686172,20.502594,24.0,6.46516848,628.0,42.5,68.3463058,24.153698,70.3015594,24.1861229,1,1,0
VMK6L68012,BLR,PK02,BK01,14.0,84.9740601,20.6322975,24.0,6.52584267,628.0,42.5,68.0577164,24.1245155,70.0745773,24.2834015,1,1,1
AZ06M86085,S101,PK02,BK33,1117.0,84.8476028,20.6939049,24.0,6.97078657,628.0,42.5,68.0577164,24.1245155,70.0745773,24.3158264,1,1,1
VMK6L67905,BLR,PK02,BK01,2.0,84.5914459,20.6939049,24.0,6.54606771,628.0,42.5,68.0577164,24.1245155,70.01297,24.3482513,1,1,1
AZ06M86084,S101,PK02,BK33,4.0,84.5914459,20.7587547,24.0,6.43370771,628.0,42.5,68.0252914,24.153698,69.8832703,24.4422836,1,1,1
AZ06M86076,S101,PK02,BK33,4.0,84.5265884,20.8884583,24.0,6.42022467,628.0,42.5,68.0577164,24.153698,69.5298309,24.6044121,1,1,0
VPK6L18442,BLRPICKUP,PK02,BK08,71.0,83.6932602,21.2062263,24.0,6.95505619,628.0,42.5,68.2166061,24.0920906,69.0175095,24.8605728,1,1,1
AWK6L12492,W207,MK09,BK11,24.0,83.4370956,21.2710762,24.0,6.47415733,628.0,42.5,68.1549988,24.0920906,68.9559021,24.9546051,1,0,1
VNK6L64873,BLR,MK01,BK16,39.0,82.5389099,21.5596657,24.0,6.64044952,628.0,42.5,67.9604416,24.153698,67.6394348,25.3404694,1,1,0
VPK6L18437,BLRPICKUP,PK02,BK08,17.0,81.5466919,21.8482513,24.0,6.4449439,628.0,42.5,67.8339844,24.2185478,67.51297,25.4053192,1,1,0
VPK6L18439,BLRPICKUP,PK02,BK08,2.0,80.8722458,21.977951,24.1000004,6.55730343,628.0,42.5,67.7691345,24.2834015,67.6718597,25.4377441,1,1,1
AWK6L12483,W207,MK09,BK11,19.0,79.9773026,22.2016869,24.0,6.64044952,628.0,42.5,70.8754883,24.0272408,67.8015594,25.2756195,2,1,0
VMK6L67999,BLR,PK02,BK01,38.0,78.75811,22.4578476,24.0,7.260674,628.0,42.5,71.7088242,23.994812,68.2490311,25.2140083,1,1,1
VMK6L68006,BLR,PK02,BK01,3.0,79.0791245,22.519455,24.1000004,6.83820248,628.0,42.5,72.2859955,23.994812,68.505188,25.2140083,1,1,1
VMK6L67977,BLR,PK02,BK01,2.0,77.5097275,22.6491585,24.1000004,7.22247219,628.0,42.5,72.2859955,23.994812,68.5376129,25.2431908,1,1,1
VPK6L18441,BLRPICKUP,PK02,BK08,12.0,78.8878098,22.5843086,24.1000004,7.06516838,628.0,42.5,72.6718597,24.0272408,68.3463058,25.2756195,1,1,1
VMK6L67986,BLR,PK02,BK01,16.0,75.4280167,23.3852158,23.7999992,6.64719105,628.0,42.5,72.9280167,24.0920906,67.5453949,25.6614799,1,1,0
AWK6L12515,W207,MK09,BK11,25.0,75.6193314,23.3527908,23.7999992,7.26292133,628.0,42.5,72.9604416,24.1245155,67.8339844,25.5966301,1,1,1
AWK6L12516,W207,MK09,BK11,6.0,73.7289276,23.4500656,23.7999992,7.13258457,628.0,42.5,72.8955917,24.0596657,68.2166061,25.5317802,1,1,1
AZ06M86088,S101,PK02,BK33,63.0,73.6965027,23.6413765,23.8999996,6.51235962,628.0,42.5,73.0252914,24.1245155,68.2166061,25.629055,1,1,1
AZ06M86090,S101,PK02,BK33,4.0,71.9649811,24.0272408,23.8999996,6.55955076,628.0,42.5,72.8955917,24.0596657,67.5778198,25.8527908,1,1,0
VPK6L18438,BLRPICKUP,PK02,BK08,32.0,70.9403381,24.1861229,24.0,6.39101124,628.0,42.5,72.9928665,24.1245155,67.5778198,25.9500656,1,1,0
AZ06M86086,S101,PK02,BK33,4.0,69.6595383,24.2185478,24.0,6.71011257,628.0,42.5,72.9280167,24.1245155,67.5778198,25.9500656,1,1,1
AZ06M86089,S101,PK02,BK33,6.0,67.8664093,24.4422836,24.0,7.01797771,628.0,42.5,71.997406,24.1245155,67.8015594,25.6614799,1,1,0
AWK6L12525,W207,MK09,BK11,23.0,66.0084305,24.636837,24.0,6.55280924,628.0,42.5,71.0376129,24.6692619,65.4928665,28.129055,1,1,0
VPK6L17576,BLRPICKUP,PK02,BK08,15.0,60.62257,25.1491585,24.0,6.48988771,628.0,42.5,70.5901489,24.5719872,60.3372269,28.287941,1,1,0
AWK6L12524,W207,MK09,BK11,8.0,62.0006523,25.0518837,24.0,6.98426962,628.0,42.5,70.781456,24.6692619,61.8417664,27.9053192,1,1,1
AWK6L12527,W207,MK09,BK11,8.0,61.1997414,25.3728943,24.1000004,6.65393257,628.0,42.5,70.9079132,25.019455,64.789238,27.7431908,1,1,1
AWK6L12528,W207,MK09,BK11,2.0,59.8216629,25.6939049,24.1000004,6.85168552,628.0,42.5,70.8754883,25.019455,63.8294449,28.0966301,1,1,0
AWK6L12539,W207,MK09,BK11,3.0,55.0810661,26.0441017,24.1000004,6.52809,628.0,42.5,70.6841812,25.019455,61.4559021,28.2230873,1,1,0
AWK6L12526,W207,MK09,BK11,2.0,50.3404694,26.5888481,24.1000004,6.52359581,628.0,42.5,70.6841812,24.98703,62.256813,27.9669266,1,1,1
AWK6L12522,W207,MK09,BK11,2.0,48.9623871,27.0719872,24.1000004,6.51011229,628.0,42.5,70.6841812,24.98703,63.6024666,27.9345016,1,1,0
AWK6L12538,W207,MK09,BK11,2.0,46.653698,27.1984444,24.2000008,6.52809,628.0,42.5,70.6841812,24.98703,63.5084343,28.0966301,1,1,0
AWK6L12468,W207,PK02,BK08,30.0,44.98703,27.0071335,24.2000008,6.41123581,628.0,42.5,70.7166061,24.9254227,62.7075233,28.0642052,2,1,0
AWK6L12529,W207,MK09,BK11,8.0,44.153698,27.1335945,24.2000008,6.35280895,628.0,42.5,70.7490311,24.9254227,63.5084343,28.0966301,1,1,0
AWK6L12531,W207,MK09,BK11,2.0,44.0920906,27.295723,24.2000008,6.17528105,628.0,42.5,70.5901489,24.8605728,63.6673164,28.0966301,1,1,0
AWK6L12517,W207,MK09,BK11,2.0,43.002594,27.6167336,24.2000008,6.75730324,628.0,42.5,69.3060989,24.8929977,62.0979271,28.287941,1,1,0
AWK6L12543,W207,MK09,BK11,2.0,42.4254227,27.7756195,24.2000008,6.64719105,628.0,42.5,69.1147919,24.7632942,58.4760056,28.9299622,1,1,0
AWK6L12532,W207,MK09,BK11,4.0,44.153698,27.3605728,24.2000008,6.56629229,628.0,42.5,69.1472168,24.8929977,59.1180305,28.3203659,1,1,0
AWK6L12542,W207,MK09,BK11,2.0,43.0642052,27.4546051,24.2000008,6.55280924,628.0,42.5,69.1472168,24.8929977,59.0856056,27.8080444,1,1,0
AWK6L12537,W207,MK09,BK11,6.0,40.8884583,28.0966301,24.2999992,6.53033733,628.0,42.5,69.1472168,24.8929977,61.9066162,25.5642052,1,1,0
VNK6L64837,BLR,MK01,BK16,115.0,41.3683548,27.9053192,24.2999992,7.1887641,628.0,42.5,69.1472168,24.8929977,62.0655022,25.2431908,1,0,1
VNK6L64931,BLR,MK01,BK16,3.0,43.2587547,27.3605728,24.2999992,6.50112343,628.0,42.5,68.8910522,24.6044121,68.6348953,26.621273,1,0,0
VNK6L64846,BLR,MK01,BK16,2.0,43.5149155,27.1660194,24.2999992,6.48314619,628.0,42.5,68.9234772,24.6044121,58.2522736,28.8975372,1,0,1
ARK6L50711,LTV,MK01,BK16,6.0,42.136837,27.6783409,24.2999992,6.48539352,628.0,42.5,68.8262024,24.6692619,60.62257,28.0966301,1,0,0
AW06M77638,W207,MK09,BK11,20.0,42.9377441,27.6783409,24.2999992,6.69662905,628.0,42.5,69.0499344,24.795723,59.0531807,28.6738014,1,1,1
AW06M77643,W207,PK02,BK01,105.0,42.9377441,27.9669266,24.2999992,6.4943819,628.0,42.5,69.0499344,24.795723,59.5330772,28.5116768,1,1,1
AW06M77642,W207,PK02,BK01,7.0,41.3035049,28.7062263,24.3999996,6.66292143,628.0,42.5,70.781456,24.9254227,58.9267197,28.0642052,1,1,0
AW06M77648,W207,PK02,BK10,1640.0,28.326849,32.5486412,24.7000008,6.57528114,628.0,42.5,62.9961128,25.1491585,63.3463058,26.2386513,1,1,1
AZ06M86087,S101,PK02,BK33,201.0,27.1725044,32.645916,24.7000008,6.57977533,628.0,42.5,62.9961128,25.1491585,63.154995,25.9176407,1,1,0
AW06M77639,W207,MK09,BK11,125.0,26.7898846,32.9345016,24.7000008,6.62022495,628.0,42.5,66.8385239,23.3852158,63.3787308,25.4377441,1,1,0
VMK6L67943,BLR,PK02,BK01,118.0,27.2373543,32.9020767,24.7000008,6.82921362,628.0,42.5,67.1595383,23.2587547,64.1472168,24.9546051,2,1,0
VPK6L18453,BLRPICKUP,MK01,BK16,141.0,28.7451363,32.9345016,24.7000008,6.52809,628.0,42.5,67.8664093,23.3852158,67.0330734,23.9623871,1,0,1
AWK6L12535,W207,MK09,BK11,12.0,29.0629063,32.0687447,24.7999992,6.62696648,628.0,42.5,68.0252914,23.2587547,67.9280167,23.6089516,1,1,1
AW06M77661,W207,MK08,BK14,2910.0,28.6154346,32.5162163,24.7999992,6.683146,628.0,42.5,67.4481201,23.5149155,68.6673203,23.4176407,1,1,0
AWK6L12534,W207,MK09,BK11,7.0,26.8839188,33.2555161,24.7999992,6.45617962,628.0,42.5,67.9280167,23.2587547,69.7243881,23.2587547,1,1,1
AW06M77655,W207,MK09,BK11,2.0,26.309988,33.4143982,24.7999992,6.53258419,628.0,42.5,67.9280167,23.2587547,69.6919632,23.2587547,1,1,0
AW06M77640,W207,PK02,BK01,21.0,26.5661488,33.2230873,24.7999992,6.58426952,628.0,42.5,67.9604416,23.1939049,69.273674,23.2263298,1,1,1
AW06M77646,W207,MK08,BK14,11.0,27.1108952,33.3495483,24.7999992,6.51460695,628.0,42.5,67.9604416,23.3852158,68.9559021,23.2911835,1,1,1
VPK6L18498,BLRPICKUP,PK02,BK08,196.0,25.7944241,33.5765266,24.7999992,6.65393257,628.0,42.5,68.0252914,23.3527908,67.51297,23.8035049,1,1,0
VPK6L18497,BLRPICKUP,PK02,BK08,1.0,25.7652416,33.7354088,24.7999992,6.96629238,628.0,42.5,68.0252914,23.3527908,67.3832703,23.8359299,1,1,0
AW06M77665,W207,PK02,BK10,38.0,25.3145275,34.0239983,24.7999992,6.4494381,628.0,42.5,68.0252914,23.3527908,67.4481201,23.8975372,1,1,1
AW06M77667,W207,MK08,BK12,1466.0,24.9643326,33.8618698,24.7999992,6.87865162,628.0,42.5,68.0252914,23.3527908,67.2243881,23.8035049,1,1,1
AW06M77663,W207,PK02,BK10,3.0,25.5706882,33.7354088,24.8999996,6.53707886,628.0,42.5,68.0252914,23.3527908,67.3216629,23.7710762,1,1,1
AZ06M86082,S101,PK02,BK33,48.0,26.9487686,32.5810661,24.8999996,6.49662924,628.0,42.5,67.9280167,23.002594,67.7367096,23.3527908,1,1,0
AW06M77664,W207,PK02,BK10,10.0,27.9734116,32.7107658,24.7999992,7.06292152,628.0,42.5,68.1841812,23.0350227,68.0577164,23.3527908,1,1,1
